playerId,autoDraftTypeId,id,lineupSlotId,memberId,overallPickNumber,roundId,roundPickNumber,teamId
2577417,0,89,0,{REDACTED-ESPN-MEMBER-ID},89,7,5,8
4258595,0,90,6,{REDACTED-ESPN-MEMBER-ID},90,7,6,10
4426348,0,91,0,{REDACTED-ESPN-MEMBER-ID},91,7,7,6
2576414,0,92,23,{REDACTED-ESPN-MEMBER-ID},92,7,8,16
3932905,0,93,23,{REDACTED-ESPN-MEMBER-ID},93,7,9,11
3121427,0,94,4,{REDACTED-ESPN-MEMBER-ID},94,7,10,17
4569987,1,95,2,,95,7,11,12
3895856,3,96,20,,96,7,12,9
4242355,0,97,6,{REDACTED-ESPN-MEMBER-ID},97,7,13,15
4612826,0,98,20,{REDACTED-ESPN-MEMBER-ID},98,7,14,13
4241479,0,99,0,{REDACTED-ESPN-MEMBER-ID},99,8,1,13
15795,0,100,20,{REDACTED-ESPN-MEMBER-ID},100,8,2,15
4428557,3,101,20,,101,8,3,9
4361579,1,102,20,,102,8,4,12
4361741,0,103,20,{REDACTED-ESPN-MEMBER-ID},103,8,5,17
14880,0,104,20,{REDACTED-ESPN-MEMBER-ID},104,8,6,11
15683,0,105,17,{REDACTED-ESPN-MEMBER-ID},105,8,7,16
3051392,0,106,20,{REDACTED-ESPN-MEMBER-ID},106,8,8,6
4038941,0,107,20,{REDACTED-ESPN-MEMBER-ID},107,8,9,10
4036133,0,108,6,{REDACTED-ESPN-MEMBER-ID},108,8,10,8
3050478,0,109,17,{REDACTED-ESPN-MEMBER-ID},109,8,11,4
3046779,0,110,20,{REDACTED-ESPN-MEMBER-ID},110,8,12,1
4635008,0,111,20,{REDACTED-ESPN-MEMBER-ID},111,8,13,14
3917232,0,112,17,{REDACTED-ESPN-MEMBER-ID},112,8,14,3
4241985,0,113,20,{REDACTED-ESPN-MEMBER-ID},113,9,1,3
